iteration,gpu_ms,e2e_ms
1,19.7063045501709,22.002700017765164
2,17.142784118652344,17.32760004233569
3,19.648576736450195,19.713299989234656
4,18.599552154541016,18.639600020833313
5,16.116416931152344,16.156700032297522
6,19.0164794921875,19.053000025451183
7,15.020544052124023,15.068600012455136
8,15.370752334594727,15.419600007589906
9,19.292224884033203,19.331599993165582
10,16.583200454711914,16.637700027786195
11,19.366783142089844,19.41180002177134
12,17.66543960571289,17.707000020891428
13,16.278112411499023,16.320599999744445
14,17.239776611328125,17.277300008572638
15,16.070079803466797,16.12720004050061
16,19.10256004333496,19.1558999940753
17,15.417856216430664,15.45910001732409
18,19.070463180541992,19.113900023512542
19,15.363136291503906,15.408500039484352
20,19.121919631958008,19.166900019627064
21,19.389440536499023,19.42369999596849
22,17.43199920654297,17.4741999944672
23,18.857120513916016,18.89810001011938
24,15.622495651245117,15.665700018871576
25,15.74403190612793,15.788200020324439
26,16.505247116088867,16.542600002139807
27,15.639264106750488,15.689199964981526
28,19.723840713500977,19.77630000328645
29,16.503616333007812,16.55389997176826
30,19.203615188598633,19.26520001143217
31,15.295583724975586,15.330600028391927
32,17.587295532226562,17.623199964873493
33,17.497631072998047,17.544300004374236
34,18.645952224731445,18.692800018470734
35,16.223264694213867,16.26960001885891
36,19.336000442504883,19.38359998166561
37,21.24777603149414,21.29179995972663
38,14.881376266479492,14.915500010829419
39,13.842944145202637,13.87680001789704
40,17.757728576660156,17.792899976484478
41,18.893152236938477,18.934499996248633
42,14.931391716003418,14.970000018365681
43,18.719423294067383,18.75419996213168
44,16.84435272216797,16.88870001817122
45,19.043136596679688,19.08019999973476
46,16.12601661682129,16.170799965038896
47,16.867040634155273,16.91219996428117
48,18.21993637084961,18.252499983645976
49,15.579999923706055,15.61319996835664
50,17.621919631958008,17.664299986790866
51,19.519519805908203,19.563799956813455
52,17.67932891845703,17.72449997952208
53,14.871392250061035,14.91239998722449
54,18.071104049682617,18.10349995503202
55,18.912288665771484,18.945600022561848
56,14.886816024780273,14.932500023860484
57,19.470495223999023,19.517700013238937
58,15.590368270874023,15.65170002868399
59,17.86911964416504,17.916199984028935
60,18.991647720336914,19.031499978154898
61,19.21232032775879,19.250699959229678
62,15.075679779052734,15.114000008907169
63,20.03481674194336,20.081199996639043
64,19.999488830566406,20.044199947733432
65,17.133792877197266,17.175299988593906
66,19.079679489135742,19.11719999043271
67,15.231616020202637,15.277200029231608
68,16.740928649902344,16.791999980341643
69,17.531103134155273,17.573699995409697
70,19.39638328552246,19.436900038272142
71,15.886048316955566,15.929199988022447
72,18.37164878845215,18.405099981464446
73,19.505727767944336,19.538599997758865
74,19.324832916259766,19.365499960258603
75,19.04979133605957,19.098799966741353
76,15.05190372467041,15.092799963895231
77,15.815327644348145,15.848500013817102
78,15.356639862060547,15.39379998575896
79,18.33577537536621,18.385399947874248
80,18.516511917114258,18.5543000116013
81,19.810911178588867,19.848199968691915
82,20.62393569946289,20.69629996549338
83,18.375999450683594,18.424600013531744
84,19.31439971923828,19.356300006620586
85,18.77654457092285,18.81189999403432
86,18.95961570739746,18.996200000401586
87,15.453568458557129,15.487600001506507
88,17.466367721557617,17.51229999354109
89,17.244064331054688,17.31110003311187
90,18.435136795043945,18.47579999594018
91,21.780479431152344,21.81990002281964
92,16.96735954284668,17.007799993734807
93,16.33625602722168,16.368200012948364
94,16.451263427734375,16.495899995788932
95,16.294944763183594,16.34680002462119
96,18.335840225219727,18.372400023508817
97,17.89619255065918,17.93940004426986
98,16.951967239379883,16.993099998217076
99,19.165088653564453,19.202600000426173
100,18.03366470336914,18.071800004690886
