iteration,gpu_ms,e2e_ms
1,12.939519882202148,15.20590006839484
2,12.821344375610352,13.058100012131035
3,12.58124828338623,12.620999943464994
4,11.853919982910156,11.892399983480573
5,13.203968048095703,13.243700028397143
6,12.334239959716797,12.374200043268502
7,13.01142406463623,13.056499999947846
8,13.398240089416504,13.43649998307228
9,11.866432189941406,11.902900063432753
10,12.286848068237305,12.32540002092719
11,12.847583770751953,12.885699979960918
12,12.401280403137207,12.439300073310733
13,13.016768455505371,13.043300015851855
14,12.88588809967041,12.930900091305375
15,12.444992065429688,12.482800055295229
16,11.962047576904297,12.000599992461503
17,12.140543937683105,12.179999961517751
18,11.784031867980957,11.822500033304095
19,12.447839736938477,12.485099956393242
20,12.12553596496582,12.180799967609346
21,12.355744361877441,12.412499985657632
22,12.54470443725586,12.582399998791516
23,11.884511947631836,11.932800058275461
24,12.579168319702148,12.627499992959201
25,13.291296005249023,13.329699984751642
26,12.50211238861084,12.54030002746731
27,12.85433578491211,12.894200044684112
28,12.426591873168945,12.468700064346194
29,12.635744094848633,12.681900057941675
30,12.48969554901123,12.523100012913346
31,12.421664237976074,12.463699909858406
32,12.98243236541748,13.02019995637238
33,12.723679542541504,12.762899976223707
34,12.559840202331543,12.597599998116493
35,13.260767936706543,13.300799997523427
36,13.240927696228027,13.279500068165362
37,12.38105583190918,12.419300037436187
38,12.302720069885254,12.34030001796782
39,12.928319931030273,12.966600013896823
40,12.39459228515625,12.432500021532178
41,13.122783660888672,13.162399991415441
42,12.615776062011719,12.653699959628284
43,12.01353645324707,12.06330000422895
44,12.256352424621582,12.302499962970614
45,11.591456413269043,11.632399982772768
46,12.044992446899414,12.080500018782914
47,12.466303825378418,12.512299930676818
48,13.219072341918945,13.26169993262738
49,13.41926383972168,13.457100023515522
50,12.304544448852539,12.357000028714538
51,12.411552429199219,12.4721999745816
52,12.455840110778809,12.493400019593537
53,12.234463691711426,12.273699976503849
54,12.74118423461914,12.77889998164028
55,12.771712303161621,12.825899990275502
56,12.8853759765625,12.9507000092417
57,12.551648139953613,12.577499961480498
58,12.505824089050293,12.54159992095083
59,12.725824356079102,12.769600027240813
60,12.79651165008545,12.835800065658987
61,14.027775764465332,14.066200004890561
62,12.076512336730957,12.114300043322146
63,12.314016342163086,12.352499994449317
64,12.167072296142578,12.20539992209524
65,12.214624404907227,12.253199936822057
66,12.363391876220703,12.401900021359324
67,11.990495681762695,12.02899997588247
68,12.314240455627441,12.353300000540912
69,12.068384170532227,12.106599984690547
70,12.719679832458496,12.758499942719936
71,12.289471626281738,12.333499966189265
72,11.953727722167969,11.996199958957732
73,12.121184349060059,12.158600031398237
74,11.832768440246582,11.87039993237704
75,12.092767715454102,12.13129993993789
76,12.338144302368164,12.376499944366515
77,11.828895568847656,11.866400018334389
78,12.036255836486816,12.074399972334504
79,12.212544441223145,12.251999927684665
80,11.740127563476562,11.778300045989454
81,12.183808326721191,12.222100049257278
82,13.6975679397583,13.738499954342842
83,13.951904296875,13.995200046338141
84,13.191455841064453,13.23369995225221
85,19.9036808013916,19.94509994983673
86,11.841535568237305,11.879700003191829
87,12.019807815551758,12.057900079526007
88,12.285920143127441,12.323300004936755
89,12.073151588439941,12.11179990787059
90,12.155488014221191,12.193799950182438
91,11.976799964904785,12.01419997960329
92,12.151359558105469,12.190000037662685
93,11.824864387512207,11.863899999298155
94,12.371744155883789,12.409999966621399
95,11.87615966796875,11.914599919691682
96,12.080415725708008,12.118699960410595
97,12.086943626403809,12.125000008381903
98,12.130304336547852,12.167999986559153
99,11.975359916687012,12.01269996818155
100,12.244319915771484,12.28219992481172
