epoch,elapsed_s,epoch_seconds,iterations,train_total_loss,train_iou_loss,train_conf_loss,train_cls_loss,train_l1_loss,num_fg_mean,map50_95,map50,ap75,ar100,lr,lr_mean,gpu_peak_allocated_mib,gpu_peak_reserved_mib,best_map50_95
1,230.21340020000935,230.17842189996736,188,5.309131335704885,1.5372728290075952,2.2677592454438513,1.5040992696551567,0.0,7.148165990217506,0.7383263206300031,1.0,1.0,0.7733333333333333,5.000000000000001e-05,1.6799881167949303e-05,4849.83935546875,4944.0,0.7383263206300031
2,443.8950031999848,212.7640095000388,188,2.437673196513602,1.1253757727272966,0.939046434106979,0.3732509904719414,0.0,7.948996172375754,0.5531512686162798,1.0,0.5403830291152375,0.5923076923076923,0.00020000000000000004,0.0001170658386147578,1717.18115234375,2430.0,0.7383263206300031
3,652.9892247000244,208.59765619999962,188,2.349148466866067,1.1339726910946217,0.8503642901778221,0.3648114968487557,0.0,8.001501054092051,0.6095233798628699,1.0,0.662955054016089,0.6492307692307693,0.00045,0.00031733179606156613,1716.18505859375,2468.0,0.7383263206300031
4,867.7776431000093,213.9406756000244,188,2.5121501791984477,1.2406563448145034,0.8844661896533155,0.3870276483766576,0.0,7.832256094311195,0.6326826781614677,1.0,0.7658061977423004,0.7005128205128205,0.0008000000000000001,0.0006175977535083751,1716.18505859375,2468.0,0.7383263206300031
5,1094.4242476000218,226.0287762999651,188,2.5446304590144058,1.2686186318701886,0.8831119144216497,0.39289991922200995,0.0,7.774504309623287,0.7004325698015321,1.0,0.9495852272969392,0.7425641025641025,0.00125,0.0010178637109551833,1716.18505859375,2468.0,0.7383263206300031
6,1309.6065767999971,214.47482479998143,188,2.5056602859750705,1.2748480248958507,0.8379921554885013,0.39282009512820143,0.0,7.693163940298043,0.5817555613467721,1.0,0.6842366569314491,0.622051282051282,0.00124959450445992,0.0012498637483074882,1716.18505859375,2468.0,0.7383263206300031
7,1524.2087020999752,213.7188260999974,188,2.268561273179156,1.149872937418045,0.753457913531902,0.3652304307894504,0.0,7.954005274645267,0.5534512890207215,1.0,0.5066094659032871,0.6,0.0012483785716978118,0.0012490507864395802,1716.18505859375,2468.0,0.7383263206300031
8,1739.0958822999964,214.13606669998262,188,2.221269562523416,1.1294298682441102,0.7326122344808376,0.359227458054715,0.0,7.950713604271594,0.6978925752476083,1.0,0.955258245877032,0.7328205128205127,0.001246353862531569,0.0012474281300030583,1716.18505859375,2468.0,0.7383263206300031
9,1950.4359815000207,210.68003790004877,188,2.185805821672399,1.1211908018969474,0.7084230755237823,0.3561919410812094,0.0,7.998936286933391,0.6034087452374725,1.0,0.7272762364348613,0.6615384615384615,0.001243523142470368,0.0012449979953514307,1716.18505859375,2468.0,0.7383263206300031
10,2160.8229057000135,209.76245219999691,188,2.1068684452391686,1.0757644119414878,0.6865811067375731,0.34452292545044677,0.0,8.015796664382517,0.5438985939650463,1.0,0.5777346255220401,0.5723076923076923,0.0012398902779373168,0.0012417637017563227,1716.18505859375,2468.0,0.7383263206300031
11,2371.80851469998,210.45850140001858,188,2.031004453593112,1.0414386134832463,0.6520895686872462,0.3374762791902461,0.0,8.095917655901843,0.7875939948332314,1.0,0.9700896563873016,0.8107692307692307,0.0012354602309883843,0.0012377296668737428,1716.18505859375,2468.0,0.7875939948332314
12,2583.824510800012,211.27276909997454,188,1.9734366726368031,1.026359813010439,0.614170990250212,0.33290586699830726,0.0,8.094783638228055,0.7315659619845224,1.0,1.0,0.7492307692307693,0.0012302390525348302,0.001232901400710104,1716.18505859375,2468.0,0.7875939948332314
13,2789.154032899998,204.68349020002643,188,1.9950373210805528,1.025056241674626,0.6369678625401031,0.3330132125857029,0.0,8.137786565298551,0.21297592064688625,0.6556639367251056,0.08911968284563804,0.5800000000000001,0.0012242338740783868,0.0012272854980962108,1716.18505859375,2468.0,0.7875939948332314
14,3002.81857220002,213.12072320003062,188,1.884611666836637,0.9668963494453024,0.5978834067887449,0.31983191298043473,0.0,8.253947928940969,0.6857584160802136,1.0,0.9684641333234567,0.7148717948717949,0.0012174528979704868,0.0012208896296795214,1716.18310546875,2468.0,0.7875939948332314
15,3211.101484499988,207.73278869997011,188,1.8551999051520165,0.9583855455226087,0.580427147131017,0.3163872205830635,0.0,8.204682208110006,0.6179630511087442,1.0,0.7892488399661325,0.6497435897435897,0.0012099053862088362,0.0012137225314469574,1716.18505859375,2468.0,0.7875939948332314
16,3419.9379208000028,208.237355499994,188,1.829231451166437,0.9403511605998303,0.5758179107562025,0.3130623813163727,0.0,8.265917033139583,0.7216067300637504,1.0,0.9679470108741355,0.7502564102564103,0.0012016016477866419,0.0012057939927926041,1716.18505859375,2468.0,0.7875939948332314
17,3628.654481399979,208.1217059000046,188,1.9040415908427948,0.9813854995560138,0.6018616295558341,0.32079446054202443,0.0,8.130740580899962,0.643522472565144,1.0,0.8530816081387875,0.6635897435897435,0.001192553024611764,0.0011971148431465695,1716.18505859375,2468.0,0.7875939948332314
18,3836.7823241000297,207.55780960002448,188,1.7500927866773401,0.9048301932659555,0.5422724994256142,0.30299009121161824,0.0,8.28829213981884,0.6624561734426884,1.0,0.961664398305895,0.678974358974359,0.0011827718760150368,0.0011876969371832893,1716.18505859375,2468.0,0.7875939948332314
19,4047.562773199985,209.95260979997693,188,1.7493946818595236,0.9036021765242231,0.5431851223111153,0.30260737937815646,0.0,8.305840576364524,0.7745451656532925,1.0,1.0,0.7979487179487179,0.0011722715618689074,0.0011775531386294684,1716.18310546875,2468.0,0.7875939948332314
20,4252.474127500027,204.14315180003177,188,1.7995587390788057,0.9199898991178959,0.5732798704758604,0.3062889721006789,0.0,8.228617268815297,0.6490498920975869,1.0,0.8749223997995624,0.6682051282051281,0.0011610664243394584,0.001166697302693772,1716.18505859375,2468.0,0.7875939948332314
21,4457.405963300029,204.2882747000549,188,1.7338333323280861,0.8870050143054191,0.5496411067532733,0.2971872203844659,0.0,8.277309481314164,0.6976676616235673,1.0,0.9894897182025897,0.7261538461538461,0.0011491717682967331,0.0011551442571422837,1716.18505859375,2468.0,0.7875939948332314
22,4665.806500800012,207.80415109999012,188,1.7185099391227072,0.8767196900667028,0.5459680375742152,0.2958222117195738,0.0,8.308072644517019,0.7600303844527758,1.0,1.0,0.7774358974358975,0.001136603840410125,0.0011429097820455573,1716.18505859375,2468.0,0.7875939948332314
23,4908.497870300023,242.1050501000136,188,1.676833817933468,0.8767286862464662,0.5046510623490557,0.2954540698927768,0.0,8.336534230005348,0.6684218522040375,1.0,0.977881671392348,0.6979487179487179,0.0011233798069573808,0.001130010588224936,1716.18505859375,2468.0,0.7875939948332314
24,5127.542388100002,218.42512520001037,188,1.5858300708709878,0.837072490060583,0.4627121727358788,0.2860454022091754,0.0,8.41607993693095,0.7318677601701435,1.0,0.9895912668189897,0.7589743589743589,0.00110951773037753,0.0011164642944275888,1716.18505859375,2468.0,0.7875939948332314
25,5339.167239699978,211.04220260004513,188,1.6279656449530988,0.8488904123610639,0.49101452997073214,0.28806070190794925,0.0,8.30469283524501,0.6936412721212222,1.0,0.9586904615892728,0.7123076923076923,0.0010950365445997663,0.0011022894032614104,1716.18505859375,2468.0,0.7875939948332314
26,5542.844482799992,203.0445722999866,188,1.6074726017231638,0.8370286513199198,0.48524895500629506,0.2851949873915378,0.0,8.336158486769518,0.7028638070653406,1.0,0.9792749664036792,0.7441025641025641,0.001079956029181978,0.0010875052759226924,1716.18505859375,2468.0,0.7875939948332314
27,5750.380618900002,206.72761930001434,188,1.6159742030691593,0.827594278974736,0.5049449068276172,0.2834350226565878,0.0,8.401696644731956,0.7610893782481762,1.0,1.0,0.7820512820512822,0.0010642967822942497,0.0010721321057510567,1716.18505859375,2468.0,0.7875939948332314
28,5957.334828399995,206.30837030004477,188,1.568251019462626,0.8141133265292391,0.47523894921896304,0.27889874783602164,0.0,8.368065330382677,0.7493608862209392,1.0,0.9786077053301186,0.7825641025641026,0.0010480801925842416,0.0010561908906477793,1716.18505859375,2468.0,0.7875939948332314
29,6163.698602600023,205.73728380003013,188,1.5323395104484354,0.7989201689971254,0.45726235428864653,0.27615698553780293,0.0,8.462216940149014,0.7715590946895324,1.0,1.0,0.801025641025641,0.0010313284099628677,0.0010397034043951859,1716.18505859375,2468.0,0.7875939948332314
30,6352.289670200029,187.93580979999388,188,1.5567030399403674,0.8159036097374368,0.4608408530500341,0.27995857731141943,0.0,8.4142605755773,0.7199159441660192,1.0,0.9796853630772507,0.7487179487179487,0.0010140643153501835,0.0010226921669162805,1716.18505859375,2468.0,0.7875939948332314
31,6525.482016500027,172.70980499999132,188,1.5287488039503707,0.7931272384334118,0.46169404344672854,0.27392752738075055,0.0,8.41069109455784,0.7742432186811739,1.0,1.0,0.7953846153846154,0.0009963114894228,0.001005180413515248,1716.18505859375,2468.0,0.7875939948332314
32,6700.4943389000255,174.3727368999971,188,1.5004131480100307,0.7701974956596152,0.4628331268087347,0.2673825232430975,0.0,8.406133874906608,0.7465240709649676,1.0,0.98979436405179,0.763076923076923,0.0009780941804055168,0.0009871920631408123,1716.18505859375,2468.0,0.7875939948332314
33,6875.895780900028,174.92092669999693,188,1.4563007725680128,0.7568924555436094,0.4358219523379143,0.2635863661924575,0.0,8.435726376025881,0.7954551149667328,1.0,1.0,0.8235897435897437,0.0009594372709511635,0.00096875168571584,1716.18505859375,2468.0,0.7954551149667328
34,7056.888656899973,180.33100550004747,188,1.431776665943734,0.7468805600036966,0.4243282124083093,0.260567890282007,0.0,8.448219411855106,0.787394799504497,1.0,1.0,0.8097435897435897,0.0009403662441538887,0.0009498844685777708,1716.18505859375,2468.0,0.7954551149667328
35,7233.212160099996,175.83919520000927,188,1.4127100278088387,0.7388460718570872,0.41394618335873523,0.25991778012285843,0.0,8.502486269707015,0.7734142097288741,1.0,0.9899466869763901,0.7958974358974359,0.0009209071487423196,0.0009306161820757537,1716.18505859375,2468.0,0.7954551149667328
36,7408.813250600011,175.1179308000137,188,1.443297824961074,0.7504972561876825,0.4311854437469168,0.26161512074635385,0.0,8.424241399084968,0.7377603551778221,1.0,1.0,0.7666666666666666,0.0009010865635001302,0.0009109731443714446,1716.18505859375,2468.0,0.7954551149667328
37,7585.747914200008,176.44871149997925,188,1.3921567312580474,0.7210296907640518,0.4176556460876414,0.25347139797312146,0.0,8.470991963830869,0.7993385214048377,1.0,1.0,0.8220512820512822,0.0008809315609626218,0.0008909821854915639,1716.18505859375,2468.0,0.7993385214048377
38,7761.566280799976,175.33181440003682,188,1.3709661393089498,0.7127345481768568,0.40660849229452456,0.2516230984412609,0.0,8.463805582386193,0.8442436531713939,1.0,1.0,0.8651282051282051,0.0008604696704388949,0.0008706706106813068,1716.18505859375,2468.0,0.8442436531713939
39,7974.567744800006,212.51907239999855,188,1.3998169816554862,0.723078801276836,0.4225673419522478,0.25417083351218955,0.0,8.449086025342249,0.7958174548015098,1.0,1.0,0.8184615384615386,0.000839728840410125,0.0008500661631086681,1716.18505859375,2468.0,0.8442436531713939
40,8178.5462476999965,203.0285097999731,188,1.3401836806789358,0.6988005555690603,0.3934079880251529,0.24797514152336628,0.0,8.46652120103738,0.7698109717216263,1.0,1.0,0.7928205128205128,0.0008187374003552992,0.000829196985970602,1716.18505859375,2468.0,0.8442436531713939
41,8420.525739100005,241.18842580000637,188,1.38157608566132,0.7143139506274081,0.41595351680162107,0.25130861498256946,0.0,8.434662463128074,0.7722344513174574,1.0,1.0,0.7938461538461539,0.0007975240220565549,0.0008080915840528096,1716.18505859375,2468.0,0.8442436531713939
42,8666.949584099988,245.476722899999,188,1.3279965034824737,0.6956127680679585,0.3859280699745138,0.24645566060505014,0.0,8.515942538109865,0.8215936100451461,1.0,1.0,0.8364102564102565,0.000776117680436975,0.0007867787847956249,1716.18505859375,2468.0,0.8442436531713939
