epoch,elapsed_s,epoch_seconds,iterations,train_total_loss,train_iou_loss,train_conf_loss,train_cls_loss,train_l1_loss,num_fg_mean,map50_95,map50,ap75,ar100,lr,lr_mean,gpu_peak_allocated_mib,gpu_peak_reserved_mib,best_map50_95
1,259.02372820000164,258.9710186999873,188,4.8085767918444695,1.4741824139305886,2.099949223564026,1.234445164812372,0.0,7.208876615707876,0.7226034543562667,1.0,1.0,0.7558974358974359,5.000000000000001e-05,1.6799881167949303e-05,4851.40185546875,4922.0,0.7226034543562667
2,539.6648680000217,278.8269812000217,188,2.504154625725239,1.149882822277698,0.9702185278243207,0.3840532732453752,0.0,7.936761016905928,0.5114639898928343,1.0,0.29899454797802966,0.5584615384615385,0.00020000000000000004,0.0001170658386147578,1718.64208984375,2196.0,0.7226034543562667
3,816.7478690000135,276.2235597000108,188,2.283375505437242,1.1082890563188714,0.8146537157132271,0.36043272658865505,0.0,7.973462397885743,0.6879981771851289,1.0,1.0,0.7215384615384616,0.00045,0.00031733179606156613,1717.24755859375,2234.0,0.7226034543562667
4,1057.9130054000416,240.2423631999991,188,2.3752536266408066,1.1813076598213075,0.8186485665909787,0.375297393570555,0.0,7.963642872215426,0.6417993004563999,1.0,0.7316512759469748,0.698974358974359,0.0008000000000000001,0.0006175977535083751,1717.24755859375,2236.0,0.7226034543562667
5,1264.955854800006,206.32461080001667,188,2.527479965001979,1.270745801798841,0.8617756503059509,0.3949585076659284,0.0,7.786301835891437,0.2595210676809505,0.9292890803700066,0.01425626888302435,0.44871794871794873,0.00125,0.0010178637109551833,1717.24755859375,2234.0,0.7226034543562667
6,1507.1665145000443,241.60443169996142,188,2.5393269880020872,1.2842302157523784,0.8581255469867524,0.396971214958962,0.0,7.7302678069454425,0.5322751390218938,1.0,0.4200058018746253,0.58,0.00124959450445992,0.0012498637483074882,1717.24755859375,2234.0,0.7226034543562667
7,1783.4604863999994,275.3062721999595,188,2.3790858375265245,1.198758637651484,0.8046298461391571,0.37569736023532585,0.0,7.866952690951878,0.19607492784946734,0.8941537790744248,3.283003072343709e-05,0.3169230769230769,0.0012483785716978118,0.0012490507864395802,1717.24755859375,2234.0,0.7226034543562667
8,2026.0783578000264,241.77767119999044,188,2.2808674884603377,1.1557571884799511,0.7603204288381211,0.3647898678132828,0.0,7.943532931377313,0.7941440620578784,1.0,1.0,0.8323076923076922,0.001246353862531569,0.0012474281300030583,1717.24755859375,2234.0,0.7941440620578784
9,2273.748256199993,246.84529369999655,188,2.2246937149382653,1.1323054001686421,0.7336702337290378,0.3587180819917232,0.0,7.9658841083176695,0.689768829479463,1.0,0.9676072418238384,0.7169230769230769,0.001243523142470368,0.0012449979953514307,1717.24755859375,2234.0,0.7941440620578784
10,2503.8290262999944,229.54624350002268,188,2.07838429225252,1.0691453811336071,0.6643884251726434,0.3448504826172869,0.0,8.102330250696445,0.5335052065722315,0.9998499849984999,0.48815736203026755,0.5569230769230769,0.0012398902779373168,0.0012417637017563227,1717.24755859375,2234.0,0.7941440620578784
11,2741.292486999999,236.7697901999927,188,2.0224887506758913,1.0431259661278827,0.6419321422247176,0.3374306448596589,0.0,8.083148587180592,0.6737842631073849,1.0,0.9660319878141659,0.7179487179487178,0.0012354602309883843,0.0012377296668737428,1717.24755859375,2234.0,0.7941440620578784
12,2974.177052700019,232.19007439998677,188,1.9531434451011902,1.0075927341872073,0.6156560859464585,0.3298946271075847,0.0,8.127515337624912,0.7504139507475617,1.0,1.0,0.7707692307692307,0.0012302390525348302,0.001232901400710104,1717.24755859375,2234.0,0.7941440620578784
13,3205.627010299999,230.56884650001302,188,1.9169248754673816,0.9869201883990714,0.6051785024873754,0.32482619084259295,0.0,8.167797148199476,0.7139731775217041,1.0,1.0,0.7461538461538462,0.0012242338740783868,0.0012272854980962108,1717.24755859375,2234.0,0.7941440620578784
