epoch,elapsed_s,epoch_seconds,iterations,train_total_loss,train_iou_loss,train_conf_loss,train_cls_loss,train_l1_loss,num_fg_mean,map50_95,map50,ap75,ar100,lr,lr_mean,gpu_peak_allocated_mib,gpu_peak_reserved_mib,best_map50_95
1,258.37922360002995,258.33357520005666,188,4.827876293278755,1.477033184246814,2.1132852324145905,1.2375578759832586,0.0,7.209255889498265,0.6919872422131642,1.0,0.9899974612845901,0.7307692307692307,5.000000000000001e-05,1.6799881167949303e-05,4850.27685546875,4926.0,0.6919872422131642
2,494.4045892000431,234.9153168000048,188,2.4933304431590626,1.1444108749323703,0.9667172619002931,0.3822023167889169,0.0,7.932380799964743,0.5553254405954307,1.0,0.538848487025803,0.6271794871794871,0.00020000000000000004,0.0001170658386147578,1717.07958984375,2200.0,0.6919872422131642
3,677.4990554000251,182.61394189996645,188,2.3188201981656094,1.1236290056654747,0.8310652949074482,0.3641259028239453,0.0,7.9796484841483855,0.5023470281003982,1.0,0.29416511156423697,0.5728205128205128,0.00045,0.00031733179606156613,1715.81005859375,2238.0,0.6919872422131642
4,875.2050011000829,197.18273110000882,188,2.429203339079593,1.2013391551185162,0.8479305916327111,0.37993359153575085,0.0,7.919873069110683,0.6258047019444148,0.9981411874746879,0.8805757888764538,0.6594871794871795,0.0008000000000000001,0.0006175977535083751,1715.81005859375,2238.0,0.6919872422131642
5,1118.9794893000508,242.85677770001348,188,2.495616798705243,1.2547370344400406,0.849811519714112,0.3910682447096135,0.0,7.826790408708124,0.3704553246017441,0.999019909620182,0.002172306782917098,0.39897435897435896,0.00125,0.0010178637109551833,1715.81005859375,2238.0,0.6919872422131642
6,1366.8071027999977,247.2297503000591,188,2.4786107533789696,1.2548169839255354,0.8338048863918224,0.3899888792570601,0.0,7.787809070811299,0.6166055033678659,1.0,0.8116970296714257,0.64,0.00124959450445992,0.0012498637483074882,1715.81005859375,2238.0,0.6919872422131642
7,1634.8657997000264,267.19978779996745,188,2.3231439850431808,1.1753122949219765,0.7766255260782039,0.37120616309186244,0.0,7.863288938617591,0.5497755946493578,1.0,0.5750973952768683,0.5938461538461539,0.0012483785716978118,0.0012490507864395802,1715.81005859375,2238.0,0.6919872422131642
8,1884.6519694000017,248.8731342999963,188,2.276980953013643,1.143962948246205,0.7710257779727591,0.3619922321844608,0.0,7.920197723545498,0.6670554574706176,1.0,0.8514709103318918,0.7323076923076923,0.001246353862531569,0.0012474281300030583,1715.81005859375,2238.0,0.6919872422131642
9,2151.448621000047,265.90835799998604,188,2.2537136394926844,1.1349714407895475,0.7593458133175018,0.3593963885560949,0.0,7.916491136269692,0.6520576479947917,1.0,0.9648787028487895,0.6887179487179488,0.001243523142470368,0.0012449979953514307,1715.81005859375,2238.0,0.6919872422131642
10,2437.5734290999826,285.0152789000422,188,2.1146173375718136,1.0777924641015681,0.6895128226977714,0.34731205346736505,0.0,8.063301990457722,0.6633910330621636,1.0,0.934302805280528,0.7097435897435898,0.0012398902779373168,0.0012417637017563227,1715.81005859375,2238.0,0.6919872422131642
11,2661.629646299989,223.15092909999657,188,2.040506551240353,1.0524303906775536,0.648371252766315,0.3397049007422112,0.0,8.07461569159327,0.7098346910704759,1.0,0.9632736883157837,0.7410256410256411,0.0012354602309883843,0.0012377296668737428,1715.81005859375,2240.0,0.7098346910704759
12,2865.4619585999753,203.33286370011047,188,1.9951667842712808,1.0170640263785706,0.6462770136112862,0.33182574697631473,0.0,8.105037183616618,0.7292887118213924,1.0,1.0,0.7702564102564102,0.0012302390525348302,0.001232901400710104,1715.81005859375,2238.0,0.7292887118213924
13,3142.4593529000413,276.32629050000105,188,1.9081149069552725,0.9806327274505128,0.6040847892773912,0.3233973905444145,0.0,8.17421296391899,0.7546974820701652,1.0,1.0,0.7784615384615384,0.0012242338740783868,0.0012272854980962108,1715.81005859375,2238.0,0.7546974820701652
14,3413.394339199993,270.0472964999499,188,1.932300402763042,0.9889788012555305,0.6199911731354734,0.3233304242504404,0.0,8.158438001152573,0.5945360429827045,1.0,0.7265902092716788,0.6369230769230769,0.0012174528979704868,0.0012208896296795214,1715.81005859375,2238.0,0.7546974820701652
15,3680.680445600068,265.04280920000747,188,1.8932251162985538,0.9666513429677233,0.607367606397639,0.3192061698658669,0.0,8.226587623584125,0.6286261444877432,0.9979934089940385,0.7810518472733857,0.6764102564102564,0.0012099053862088362,0.0012137225314469574,1715.81005859375,2238.0,0.7546974820701652
