run_id,model,status,ap50_95,ap50,ap75,ap_small,ap_medium,ap_large,ar100,precision,recall,f1,tp,fp,fn,best_f1,best_f1_confidence,params,checkpoint_mib,latency_p50_ms,latency_p95_ms,fps,peak_gpu_memory_mib,system_peak_gpu_memory_mib,train_elapsed_s,seed,dataset_sha256,protocol_sha256
yolo11m_seed42,yolo11m,complete,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,195,0,0,1.0,0.01,20114688,38.62687301635742,15.682500001275912,16.964435009867884,64.13396507844062,3999.23193359375,7378.0,10089.108855962753,42,a31897f85c21198fe30ed54c5ab1247fcf0594b8e3b5b53c82f40a3ad145a7ef,02facd21ef061fc6530c064d4397ab82e36af3e0601cb502d46f7a6ec34f46f5
yolo11m_seed43,yolo11m,complete,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,195,0,0,1.0,0.0,20114688,38.62687301635742,11.51949999621138,12.463920025038533,84.92033156399027,3999.23193359375,5577.0,10063.589973211288,43,a31897f85c21198fe30ed54c5ab1247fcf0594b8e3b5b53c82f40a3ad145a7ef,02facd21ef061fc6530c064d4397ab82e36af3e0601cb502d46f7a6ec34f46f5
yolox_s_seed42,YOLOX-S,complete,0.9793731141600794,1.0,1.0,,,0.9793731141600794,0.9846153846153847,1.0,1.0,1.0,195,0,0,1.0,0.02,8937682,68.51297283172607,17.75869997800328,20.046049950178713,56.4291318110454,1717.10205078125,6472.0,20136.579305500025,42,a31897f85c21198fe30ed54c5ab1247fcf0594b8e3b5b53c82f40a3ad145a7ef,02facd21ef061fc6530c064d4397ab82e36af3e0601cb502d46f7a6ec34f46f5
yolox_s_seed43,YOLOX-S,complete,0.9898388546790992,1.0,1.0,,,0.9898388546790992,0.9912820512820513,1.0,1.0,1.0,195,0,0,1.0,0.01,8937682,68.51297283172607,12.411249976139516,13.471170020056888,79.34101888572624,1716.72705078125,7070.0,18772.256107500056,43,a31897f85c21198fe30ed54c5ab1247fcf0594b8e3b5b53c82f40a3ad145a7ef,02facd21ef061fc6530c064d4397ab82e36af3e0601cb502d46f7a6ec34f46f5
