iteration,gpu_ms,e2e_ms
1,12.422240257263184,15.79690002836287
2,12.257120132446289,16.085400013253093
3,11.164992332458496,11.186900024767965
4,11.50160026550293,11.524700035806745
5,15.093055725097656,15.11530001880601
6,11.501440048217773,11.523099965415895
7,11.617088317871094,11.643200006801635
8,11.869183540344238,11.898600030690432
9,11.319999694824219,11.341799981892109
10,12.089856147766113,12.112699972931296
11,11.493887901306152,11.515700025483966
12,11.197664260864258,11.219899985007942
13,11.415743827819824,11.437100009061396
14,11.407008171081543,11.42900000559166
15,11.330719947814941,11.352700006682426
16,11.112128257751465,11.13290002103895
17,11.422592163085938,11.444400006439537
18,12.59011173248291,12.612399994395673
19,12.291296005249023,12.324200011789799
20,11.938719749450684,11.965200013946742
21,11.395263671875,11.416399967856705
22,11.422080039978027,11.443199997302145
23,11.071999549865723,11.093200009781867
24,11.377504348754883,11.398900009226054
25,11.499360084533691,11.521200009156018
26,11.6463041305542,11.66759995976463
27,11.358495712280273,11.380599986296147
28,11.376447677612305,11.397800000850111
29,11.491264343261719,11.513400007970631
30,11.726655960083008,11.747999989893287
31,11.474431991577148,11.503899993840605
32,11.384320259094238,11.410899984184653
33,11.316512107849121,11.33870001649484
34,12.44092845916748,12.463600025512278
35,11.652000427246094,11.67670002905652
36,11.593952178955078,11.615499970503151
37,11.452927589416504,11.47500000661239
38,12.230879783630371,12.254700006451458
39,11.827327728271484,11.848900001496077
40,11.310336112976074,11.331499961670488
41,11.425151824951172,11.44669996574521
42,11.579071998596191,11.60089997574687
43,11.19542407989502,11.21730002341792
44,11.41971206665039,11.44089997978881
45,11.229151725769043,11.250700044911355
46,11.464768409729004,11.486599978525192
47,11.216768264770508,11.238700011745095
48,11.643487930297852,11.666200007312
49,11.68175983428955,11.704000004101545
50,11.670463562011719,11.692199972458184
51,11.291999816894531,11.313199996948242
52,11.050911903381348,11.071699962485582
53,11.789504051208496,11.811600008513778
54,11.382719993591309,11.40830002259463
55,11.848640441894531,11.870299989823252
56,11.626272201538086,11.647600040305406
57,11.649791717529297,11.671299987938255
58,11.692095756530762,11.714400025084615
59,12.129823684692383,12.151500035542995
60,12.447487831115723,12.470000016037375
61,12.046688079833984,12.0691999909468
62,11.802111625671387,11.82340004015714
63,11.49728012084961,11.520000000018626
64,12.259903907775879,12.286800018046051
65,11.895615577697754,11.926000006496906
66,11.536255836486816,11.558199999853969
67,11.391200065612793,11.413300002459437
68,11.114591598510742,11.136999994050711
69,11.611807823181152,11.634399998001754
70,11.891488075256348,11.913699971046299
71,11.784768104553223,11.807899980340153
72,11.366559982299805,11.39060000423342
73,11.33574390411377,11.357199982739985
74,11.866720199584961,11.889200017321855
75,11.728384017944336,11.750400008168072
76,11.18825626373291,11.213799996767193
77,11.343104362487793,11.364299978595227
78,11.574399948120117,11.59939996432513
79,11.152511596679688,11.174399987794459
80,11.347488403320312,11.368700012098998
81,11.36832046508789,11.39050000347197
82,11.79417610168457,11.820299958344549
83,11.12451171875,11.146400007419288
84,11.452608108520508,11.474300001282245
85,12.17955207824707,12.202100013382733
86,11.495200157165527,11.518999992404133
87,11.388128280639648,11.413999949581921
88,11.463616371154785,11.4853999693878
89,11.439135551452637,11.4600999513641
90,11.474687576293945,11.496099992655218
91,11.132287979125977,11.153100000228733
92,11.289216041564941,11.31049997638911
93,11.588543891906738,11.610799992922693
94,11.653632164001465,11.677599977701902
95,12.03439998626709,12.064000009559095
96,11.471551895141602,11.493800033349544
97,11.956255912780762,11.978299997281283
98,11.689023971557617,11.711099999956787
99,11.252960205078125,11.27509999787435
100,11.873600006103516,11.895600007846951
