epoch,elapsed_s,train_total_loss,train_box_loss,train_iou_loss,train_conf_loss,train_cls_loss,train_dfl_loss,train_l1_loss,val_box_loss,val_cls_loss,val_dfl_loss,precision,recall,map50,map50_95,lr,train_peak_allocated_mib,train_peak_reserved_mib,gpu_peak_allocated_mib,gpu_peak_reserved_mib
26,2625.7372024059296,,0.288186252117157,,,0.21861520409584045,0.9551317691802979,,0.17062,0.14952,0.87578,0.99972,1.0,0.995,0.99269,0.007525,3999.23193359375,4056.0,3999.23193359375,4056.0
27,2726.3973865509033,,0.2861022651195526,,,0.21596872806549072,0.9531111121177673,,0.1537,0.12403,0.87073,1.0,1.0,0.995,0.99342,0.007426,3999.23193359375,4056.0,3999.23193359375,4056.0
28,2826.6872222423553,,0.27981817722320557,,,0.21540294587612152,0.9461634755134583,,0.16533,0.12485,0.87706,0.99972,1.0,0.995,0.99321,0.007327,3999.23193359375,4056.0,3999.23193359375,4056.0
29,2929.944007396698,,0.2708202600479126,,,0.2090206891298294,0.9447380900382996,,0.92094,0.47637,1.9618,0.99641,0.99487,0.995,0.74574,0.007228,3999.23193359375,4056.0,3999.23193359375,4056.0
30,3031.3988053798676,,0.2723318040370941,,,0.21281041204929352,0.9396476745605469,,0.16976,0.14171,0.88074,0.99972,1.0,0.995,0.99273,0.007129,3999.23193359375,4056.0,3999.23193359375,4056.0
31,3133.890814304352,,0.2693641185760498,,,0.20738714933395386,0.9494428038597107,,0.26592,0.17877,0.98253,0.99972,1.0,0.995,0.97222,0.00703,3999.23193359375,4056.0,3999.23193359375,4056.0
32,3237.418249607086,,0.26773524284362793,,,0.20604543387889862,0.9434884190559387,,0.15022,0.14365,0.86836,0.99799,1.0,0.995,0.99326,0.006931,3999.23193359375,4056.0,3999.23193359375,4056.0
33,3339.1993374824524,,0.2594236433506012,,,0.19967591762542725,0.938885509967804,,0.61659,0.44445,1.49116,0.99086,1.0,0.99495,0.79333,0.0068319999999999995,3999.23193359375,4056.0,3999.23193359375,4056.0
34,3444.4522511959076,,0.2533510625362396,,,0.1992797553539276,0.9430527687072754,,0.19308,0.16841,0.89713,0.99953,1.0,0.995,0.99165,0.006732999999999999,3999.23193359375,4056.0,3999.23193359375,4056.0
35,3545.783430814743,,0.25255897641181946,,,0.1971569061279297,0.9333170056343079,,0.16232,0.13116,0.87507,0.99972,1.0,0.995,0.99342,0.006633999999999999,3999.23193359375,4056.0,3999.23193359375,4056.0
