iteration,gpu_ms,e2e_ms
1,14.836928367614746,24.117900000419468
2,15.385151863098145,15.579500002786517
3,14.097248077392578,14.11970000481233
4,16.072288513183594,16.092599951662123
5,14.195455551147461,14.218399999663234
6,15.988448143005371,16.010899969842285
7,14.875712394714355,14.890499995090067
8,15.728575706481934,15.749999962281436
9,14.009568214416504,14.029599959030747
10,16.194143295288086,16.21450000675395
11,14.561792373657227,14.575799985323101
12,15.842399597167969,15.866300032939762
13,13.932671546936035,13.951700006145984
14,16.089439392089844,16.10820001224056
15,14.12553596496582,14.146100031211972
16,16.558208465576172,16.579699993599206
17,14.212479591369629,14.234700007364154
18,13.456928253173828,13.482799986377358
19,14.714207649230957,14.732400013599545
20,14.673343658447266,14.691899996250868
21,15.584511756896973,15.606200031470507
22,14.038816452026367,14.052800019271672
23,15.666943550109863,15.69169998401776
24,14.663423538208008,14.677500003017485
25,15.653023719787598,15.673300018534064
26,14.098784446716309,14.117799990344793
27,16.27667236328125,16.297299996949732
28,14.567392349243164,14.58640000782907
29,16.058015823364258,16.08109998051077
30,16.46124839782715,16.476000018883497
31,14.51091194152832,14.597899978980422
32,16.948640823364258,16.966999974101782
33,14.659071922302246,14.677700004540384
34,16.0031681060791,16.0217999946326
35,14.849696159362793,14.864399970974773
36,14.314240455627441,16.00270002381876
37,16.01363182067871,16.03970001451671
38,14.507967948913574,14.53030004631728
39,16.30726432800293,16.32719999179244
40,15.146559715270996,15.161500021349639
41,15.93552017211914,15.956099960021675
42,14.394495964050293,14.41589999012649
43,16.01523208618164,16.035899985581636
44,16.704927444458008,16.72449999023229
45,14.702176094055176,14.71979997586459
46,16.48521614074707,16.50359999621287
47,14.550432205200195,14.569499995559454
48,15.926400184631348,15.950599976349622
49,14.808223724365234,14.823200006503612
50,14.508480072021484,16.289499995764345
51,15.94108772277832,15.963499958161265
52,12.75318431854248,12.776200019288808
53,14.945280075073242,14.959399995859712
54,16.4800968170166,16.50230004452169
55,17.02956771850586,17.051199974957854
56,14.157440185546875,14.176400029100478
57,16.984607696533203,17.00890000211075
58,16.26361656188965,16.279500036034733
59,14.668959617614746,14.770400011911988
60,15.935775756835938,15.966700040735304
61,15.439616203308105,15.45910001732409
62,16.265535354614258,16.288299986626953
63,15.123456001281738,15.138100017793477
64,14.704480171203613,16.226899984758347
65,16.366783142089844,16.392100020311773
66,14.378047943115234,14.424099994357675
67,15.428223609924316,15.451699960976839
68,14.040512084960938,14.059800014365464
69,16.27836799621582,16.29739999771118
70,13.844032287597656,13.865700049791485
71,16.349279403686523,16.37009996920824
72,14.731776237487793,14.755700016394258
73,16.409055709838867,16.433800046797842
74,16.716447830200195,16.73490001121536
75,14.39731216430664,14.415599987842143
76,16.303743362426758,16.32749999407679
77,16.868959426879883,16.883400036022067
78,14.565312385559082,14.67250002315268
79,16.307039260864258,16.32729999255389
80,14.890496253967285,14.910999976564199
81,15.961759567260742,15.997099981177598
82,14.881088256835938,14.895800035446882
83,15.611295700073242,15.63540002098307
84,16.608800888061523,16.623099974822253
85,14.290464401245117,14.396500017028302
86,12.476223945617676,12.499400007072836
87,16.035743713378906,16.05459995334968
88,14.9901123046875,15.00419998774305
89,16.03539276123047,16.05600002221763
90,14.694784164428711,14.714599994476885
91,16.086944580078125,16.111399978399277
92,16.938079833984375,16.96430001175031
93,14.426560401916504,14.446599991060793
94,16.68819236755371,16.707099974155426
95,16.38470458984375,16.40419999603182
96,14.90124797821045,15.023900021333247
97,16.996095657348633,17.0145999873057
98,16.45635223388672,16.471600043587387
99,14.611871719360352,14.686599955894053
100,16.077056884765625,16.100199951324612
