epoch,elapsed_s,train_total_loss,train_box_loss,train_iou_loss,train_conf_loss,train_cls_loss,train_dfl_loss,train_l1_loss,val_box_loss,val_cls_loss,val_dfl_loss,precision,recall,map50,map50_95,lr,train_peak_allocated_mib,train_peak_reserved_mib,gpu_peak_allocated_mib,gpu_peak_reserved_mib
66,6494.656720876694,,0.17644205689430237,,,0.1444467306137085,0.9039250612258911,,0.1049,0.09001,0.84628,0.99973,1.0,0.995,0.99498,0.003565,3999.23193359375,4056.0,3999.23193359375,4056.0
67,6603.2386355400085,,0.17456696927547455,,,0.14376699924468994,0.907245934009552,,0.10652,0.08675,0.84512,0.99973,1.0,0.995,0.99478,0.003466,3999.23193359375,4056.0,3999.23193359375,4056.0
68,6701.209755897522,,0.17847678065299988,,,0.14497776329517365,0.913255512714386,,0.10399,0.09298,0.84418,0.99973,1.0,0.995,0.9935,0.0033669999999999993,3999.23193359375,4056.0,3999.23193359375,4056.0
69,6799.734705686569,,0.17117619514465332,,,0.14135757088661194,0.9065365791320801,,0.09238,0.07647,0.83889,0.99973,1.0,0.995,0.99456,0.003268,3999.23193359375,4056.0,3999.23193359375,4056.0
70,6892.642068386078,,0.16589288413524628,,,0.14066793024539948,0.9004465937614441,,0.1185,0.08888,0.85407,0.99972,1.0,0.995,0.99348,0.003169000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
71,6984.914930105209,,0.16943858563899994,,,0.13935638964176178,0.9034029841423035,,0.10337,0.08552,0.83964,0.99973,1.0,0.995,0.995,0.0030700000000000007,3999.23193359375,4056.0,3999.23193359375,4056.0
72,7077.6513640880585,,0.1629134863615036,,,0.13544346392154694,0.8972164392471313,,0.09338,0.07972,0.83881,0.99973,1.0,0.995,0.99482,0.0029710000000000006,3999.23193359375,4056.0,3999.23193359375,4056.0
73,7169.791112422943,,0.1619676649570465,,,0.13463714718818665,0.8991733193397522,,0.09809,0.0803,0.8409,0.99973,1.0,0.995,0.9947,0.002872,3999.23193359375,4056.0,3999.23193359375,4056.0
74,7263.030967712402,,0.16008029878139496,,,0.1347144991159439,0.8979125618934631,,0.08736,0.07215,0.83808,0.99973,1.0,0.995,0.99473,0.0027730000000000007,3999.23193359375,4056.0,3999.23193359375,4056.0
75,7355.613298416138,,0.15684528648853302,,,0.1328863650560379,0.9004456996917725,,0.08465,0.0695,0.83443,0.99974,1.0,0.995,0.99492,0.002674,3999.23193359375,4056.0,3999.23193359375,4056.0
76,7449.674467086792,,0.155345618724823,,,0.13206888735294342,0.8978131413459778,,0.09272,0.07502,0.84037,0.99973,1.0,0.995,0.99375,0.002575,3999.23193359375,4056.0,3999.23193359375,4056.0
77,7555.27373790741,,0.15332074463367462,,,0.12998667359352112,0.8977168798446655,,0.09064,0.07041,0.83809,0.99974,1.0,0.995,0.99379,0.002476,3999.23193359375,4056.0,3999.23193359375,4056.0
78,7665.108535051346,,0.149640753865242,,,0.12738507986068726,0.8926643133163452,,0.09427,0.07532,0.8372,0.99973,1.0,0.995,0.99497,0.002377,3999.23193359375,4056.0,3999.23193359375,4056.0
79,7840.437262296677,,0.1513664871454239,,,0.12615719437599182,0.8999037146568298,,0.08785,0.08085,0.83484,0.99973,1.0,0.995,0.995,0.0022779999999999996,3999.23193359375,4056.0,3999.23193359375,4056.0
80,7970.1764261722565,,0.151572123169899,,,0.12621812522411346,0.8984348773956299,,0.08448,0.07353,0.83235,1.0,1.0,0.995,0.995,0.002179,3999.23193359375,4056.0,3999.23193359375,4056.0
81,8093.413413286209,,0.14441579580307007,,,0.12149114161729813,0.9003871083259583,,0.08336,0.07055,0.83482,1.0,1.0,0.995,0.9949,0.00208,3999.23193359375,4056.0,3999.23193359375,4056.0
82,8211.282317399979,,0.14768941700458527,,,0.12377170473337173,0.8964005708694458,,0.08077,0.0711,0.83317,0.99974,1.0,0.995,0.995,0.0019809999999999993,3999.23193359375,4056.0,3999.23193359375,4056.0
83,8332.103343248367,,0.14340320229530334,,,0.12282060831785202,0.889510989189148,,0.07689,0.06676,0.83173,0.99973,1.0,0.995,0.99492,0.0018820000000000006,3999.23193359375,4056.0,3999.23193359375,4056.0
84,8436.231800317764,,0.140153169631958,,,0.12035498023033142,0.8967776894569397,,0.08293,0.07196,0.83594,0.99973,1.0,0.995,0.99487,0.0017830000000000005,3999.23193359375,4056.0,3999.23193359375,4056.0
85,8533.396689414978,,0.13973526656627655,,,0.11988203227519989,0.8916370868682861,,0.08408,0.07802,0.83177,0.99974,1.0,0.995,0.995,0.0016840000000000006,3999.23193359375,4056.0,3999.23193359375,4056.0
86,8632.99885392189,,0.13824661076068878,,,0.11795511096715927,0.8972433805465698,,0.07754,0.0745,0.83091,0.99974,1.0,0.995,0.995,0.0015850000000000003,3999.23193359375,4056.0,3999.23193359375,4056.0
87,8731.986862421036,,0.1374794840812683,,,0.11504556238651276,0.8966827988624573,,0.07897,0.07553,0.83059,0.99974,1.0,0.995,0.99489,0.0014860000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
88,8834.068041563034,,0.13118892908096313,,,0.11253980547189713,0.8901146054267883,,0.0796,0.07242,0.83019,0.99974,1.0,0.995,0.995,0.0013870000000000002,3999.23193359375,4056.0,3999.23193359375,4056.0
89,8940.848207235336,,0.13182859122753143,,,0.11440522968769073,0.8919092416763306,,0.09201,0.07126,0.83393,0.99973,1.0,0.995,0.995,0.001288,3999.23193359375,4056.0,3999.23193359375,4056.0
90,9052.565253973007,,0.12723994255065918,,,0.11183540523052216,0.8908595442771912,,0.07712,0.06578,0.83168,1.0,1.0,0.995,0.995,0.0011889999999999997,3999.23193359375,4056.0,3999.23193359375,4056.0
91,9160.852176427841,,0.08093619346618652,,,0.08065689355134964,0.8374014496803284,,0.07688,0.06649,0.82916,0.99973,1.0,0.995,0.995,0.0010899999999999998,3999.23193359375,4056.0,3999.23193359375,4056.0
92,9269.263346672058,,0.0772152692079544,,,0.07602686434984207,0.8252758979797363,,0.08569,0.08511,0.83522,0.99973,1.0,0.995,0.995,0.0009909999999999997,3999.23193359375,4056.0,3999.23193359375,4056.0
93,9369.703756332397,,0.07480575144290924,,,0.07198429107666016,0.821077823638916,,0.07614,0.06543,0.82838,1.0,1.0,0.995,0.995,0.0008919999999999996,3999.23193359375,4056.0,3999.23193359375,4056.0
94,9472.637763023376,,0.07176267355680466,,,0.06863154470920563,0.827826201915741,,0.07354,0.07063,0.82783,0.99973,1.0,0.995,0.995,0.0007929999999999994,3999.23193359375,4056.0,3999.23193359375,4056.0
95,9580.750224351883,,0.06810812652111053,,,0.06680820882320404,0.8236746788024902,,0.074,0.06477,0.82755,0.99973,1.0,0.995,0.995,0.0006940000000000005,3999.23193359375,4056.0,3999.23193359375,4056.0
96,9676.941570997238,,0.06807859987020493,,,0.06858085840940475,0.8219851851463318,,0.06955,0.06321,0.82562,1.0,1.0,0.995,0.995,0.0005950000000000005,3999.23193359375,4056.0,3999.23193359375,4056.0
97,9774.894543170929,,0.06792572885751724,,,0.0692320391535759,0.825756847858429,,0.06702,0.062,0.82585,1.0,1.0,0.995,0.995,0.0004960000000000005,3999.23193359375,4056.0,3999.23193359375,4056.0
98,9876.722190380096,,0.06281903386116028,,,0.06393399089574814,0.8227054476737976,,0.06305,0.05879,0.82352,1.0,1.0,0.995,0.995,0.00039700000000000027,3999.23193359375,4056.0,3999.23193359375,4056.0
99,9978.557562112808,,0.06259772926568985,,,0.0638185515999794,0.8213328123092651,,0.06538,0.06013,0.825,1.0,1.0,0.995,0.995,0.0002980000000000002,3999.23193359375,4056.0,3999.23193359375,4056.0
100,10089.108855962753,,0.06195731833577156,,,0.06187964975833893,0.823901355266571,,0.06413,0.06189,0.82535,1.0,1.0,0.995,0.995,0.0001990000000000001,3999.23193359375,4056.0,3999.23193359375,4056.0
