model,runs,ap50_95_mean,ap50_95_std,ap50_mean,ap50_std,ap75_mean,ap75_std,ap_small_mean,ap_small_std,ap_medium_mean,ap_medium_std,ap_large_mean,ap_large_std,ar100_mean,ar100_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,latency_p50_ms_mean,latency_p50_ms_std,latency_p95_ms_mean,latency_p95_ms_std,fps_mean,fps_std,peak_gpu_memory_mib_mean,peak_gpu_memory_mib_std,train_elapsed_s_mean,train_elapsed_s_std
yolo11m,2,1.0,0.0,1.0,0.0,1.0,0.0,,,,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,13.600999998743646,2.9436855336607626,14.714177517453209,3.182344664604506,74.52714832121545,14.698180698160941,3999.23193359375,0.0,10076.34941458702,18.04457504186521
YOLOX-S,2,0.9846059844195894,0.007400396091137659,1.0,0.0,1.0,0.0,,,,,0.9846059844195894,0.007400396091137659,0.987948717948718,0.004714045207910269,1.0,0.0,1.0,0.0,1.0,0.0,15.084974977071397,3.781218158373883,16.7586099851178,4.649142184076475,67.88507534838583,16.20115072028723,1716.91455078125,0.2651650429449553,19454.41770650004,964.7221850358949
